clone_pair,start_commit,end_commit,genealogy
src/main/java/com/tightdb/generated/Employee.java^23^34+tightdb-example/src/main/java/com/tightdb/generated/Employee.java^23^34,bf25c0d,e31ae0f,"I,A,33dad7f,1-I,A,66e7d0b,8-C,B,ccc0abf,8-C,B,f9295cb,12"
src/main/java/com/tightdb/generated/EmployeeTable.java^42^58+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^63^77,bf25c0d,e31ae0f,"I,A,adffbe9,1-I,A,2145990,16-C,A,8495984,1-C,B,f9295cb,14"
src/main/java/com/tightdb/generated/EmployeeTable.java^63^77+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^42^58,bf25c0d,3e82979,"C,B,ccc0abf,1-I,A,2145990,15"
src/main/java/com/tightdb/generated/EmployeeTable.java^63^77+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^63^77,bf25c0d,3e82979,"I,A,2145990,15"
tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^42^58+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^63^77,bf25c0d,e31ae0f,"C,A,ccc0abf,1-C,AB,f9295cb,30"
src/main/java/com/tightdb/example/Performance.java^46^75+tightdb-example/src/main/java/com/tightdb/example/Performance.java^45^74,bf25c0d,e4cbe94,"I,B,3f9c05b,3-C,B,2f1c517,1"
doc/tutorial.java^71^98+tightdb-example/src/main/java/com/tightdb/example/Example.java^91^116,124cb4d,a228c55,"I,B,3f9c05b,3-I,B,2f1c517,26"
doc/tutorial.java^168^215+tightdb-example/src/main/java/com/tightdb/example/Example.java^190^237,124cb4d,de41d43,"I,B,3f9c05b,48"
doc/tutorial.java^72^98+src/main/java/com/tightdb/example/Example.java^90^112,124cb4d,ee7b855,"I,B,adffbe9,2-I,B,593ea6a,2-I,B,e4cbe94,6-I,B,2145990,1-I,B,8cdaf80,2-I,A,585dbfb,25-I,A,fc8f2c9,10"
doc/tutorial.java^116^156+src/main/java/com/tightdb/example/Example.java^116^161,124cb4d,1debfa0,"I,B,75ea3b2,1-I,B,593ea6a,8-I,B,091c4d3,4-I,B,2f1c517,6-I,B,66e7d0b,23-I,B,1f4c885,25-I,B,e4cbe94,4-I,A,585dbfb,29-I,A,fc8f2c9,81"
doc/tutorial.java^116^156+tightdb-example/src/main/java/com/tightdb/example/Example.java^120^160,124cb4d,a228c55,"C,B,3f9c05b,7-I,B,2f1c517,44"
src/main/java/com/tightdb/example/Example.java^116^161+tightdb-example/src/main/java/com/tightdb/example/Example.java^120^160,124cb4d,a228c55,"I,B,3f9c05b,7-I,A,75ea3b2,1-I,A,593ea6a,8-I,A,091c4d3,4-I,AB,2f1c517,50"
doc/tutorial.java^72^98+tightdb-example/src/main/java/com/tightdb/example/Example.java^96^120,3f9c05b,a228c55,"I,B,2f1c517,25"
src/main/java/com/tightdb/example/Performance.java^157^185+tightdb-example/src/main/java/com/tightdb/example/Performance.java^263^295,3f9c05b,e4cbe94,"C,B,2f1c517,2"
src/main/java/com/tightdb/example/Performance.java^293^325+tightdb-example/src/main/java/com/tightdb/example/Performance.java^263^295,3f9c05b,e4cbe94,"C,B,2f1c517,2"
src/main/java/com/tightdb/example/Performance.java^293^328+tightdb-example/src/main/java/com/tightdb/example/Performance.java^263^298,3f9c05b,e4cbe94,"C,B,2f1c517,2"
tightdb-example/src/main/java/com/tightdb/example/Performance.java^132^163+tightdb-example/src/main/java/com/tightdb/example/Performance.java^263^298,3f9c05b,e4cbe94,"I,B,2f1c517,2"
doc/tutorial.java^122^137+src/main/java/com/tightdb/example/Example.java^123^142,3f9c05b,ee7b855,"I,B,593ea6a,1-I,B,091c4d3,3-I,B,2f1c517,1-I,B,66e7d0b,1-I,A,585dbfb,15-I,A,fc8f2c9,2"
doc/tutorial.java^122^137+tightdb-example/src/main/java/com/tightdb/example/Example.java^131^146,3f9c05b,a228c55,"I,B,2f1c517,16"
src/main/java/com/tightdb/example/Example.java^123^142+tightdb-example/src/main/java/com/tightdb/example/Example.java^131^146,3f9c05b,a228c55,"I,A,593ea6a,1-I,A,091c4d3,3-I,AB,2f1c517,17"
src/main/java/com/tightdb/example/Performance.java^251^270+tightdb-example/src/main/java/com/tightdb/example/Performance.java^226^242,3f9c05b,e4cbe94,"I,B,2f1c517,2"
src/main/java/com/tightdb/example/Performance.java^308^349+tightdb-example/src/main/java/com/tightdb/example/Performance.java^278^319,3f9c05b,e4cbe94,"I,B,2f1c517,6"
doc/tutorial.java^72^98+src/main/java/com/tightdb/example/Example.java^84^106,fbea1a2,ee7b855,"I,B,593ea6a,3-I,B,a228c55,1-I,B,e4cbe94,4-I,B,2145990,1-I,B,8cdaf80,2-I,A,585dbfb,25-I,A,fc8f2c9,10"
src/main/java/com/tightdb/generated/TestQuery.java^19^25+tightdb-example/src/main/java/com/tightdb/generated/TestQuery.java^19^25,fbea1a2,0b086ea,"I,A,66e7d0b,4-C,B,ccc0abf,4"
src/main/java/com/tightdb/generated/TestTable.java^12^19+tightdb-example/src/main/java/com/tightdb/generated/TestTable.java^12^19,fbea1a2,0b086ea,"I,A,66e7d0b,4-C,B,ccc0abf,4"
