clone_pair,start_commit,end_commit,genealogy
javasources/K3Java/src/main/KompileFrontEnd.java^440^457+projects/Klint/src/klint/Klint.java^129^147,b88ddf4,ed6a37f,"I,A,01a8e34,3-C,B,3a1c7f3,6-I,A,6d239d7,15"
tests/tools/Jenkins/tests/Kompile.java^15^28+tests/tools/Jenkins/tests/RunPrograms.java^12^27,686987b,8aa2e6b,"I,AB,459c7f5,6-I,AB,0da4f4d,7-I,B,a8b1bb9,3-I,A,269ffa8,2-I,AB,76e3c7c,2-I,AB,e24f472,8-I,A,5e10ded,1-I,A,e7bc8d0,8-I,A,60d66f1,12-I,AB,4ca5cbb,18-I,A,2797cbf,11-I,B,f77e8b9,15-I,B,c74d4cd,6-I,B,172fd33,9"
javasources/KUtils/src/ro/uaic/info/fmse/utils/file/FileUtil.java^11^27+tests/tools/Jenkins/src/StaticK.java^81^97,f90d830,6b70726,"C,B,ce3218f,16"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^175^184+javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^197^207,e5bde1b,26c2338,"I,B,8a5fad0,1-I,B,7f392fe,2-I,AB,470eb02,16"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^176^189+javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^224^242,e5bde1b,8226ede,"I,A,df4d3b5,3-I,B,7f392fe,3-C,AB,470eb02,36-C,B,fbd8e00,18-C,AB,627f6c6,2-I,AB,7514832,38"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/KPaths.java^28^44+javasources/K3Java/src/k/utils/KPaths.java^28^44,e5bde1b,e457748,"I,A,470eb02,1"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/KPaths.java^30^44+javasources/K3Java/src/k/utils/KPaths.java^30^44,e5bde1b,e457748,"I,A,470eb02,1"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/KPaths.java^30^44+javasources/Kil2Maude/src/ro/uaic/info/fmse/k2m/main/Kil2Maude.java^51^65,e5bde1b,601fbc9,"I,A,470eb02,1"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/FileUtil.java^78^97+javasources/K3Java/src/k/utils/FileUtil.java^32^53,e5bde1b,7a6453a,"C,A,67b39c3,1-C,A,beae5a3,2-C,A,470eb02,2-I,B,92dafc0,3-I,A,42104a6,1"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^155^169+javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^358^372,50e245b,f9beb86,"I,AB,df4d3b5,26"
javasources/JavaClasses/src/ro/uaic/info/fmse/disambiguate/BestFitFilter.java^58^64+javasources/JavaClasses/src/ro/uaic/info/fmse/disambiguate/TypeSystemFilter.java^24^33,7d89a73,34adc7e,"I,A,388cb23,7"
javasources/K3Java/src/k3parser/KParser.java^72^90+javasources/K3Java/src/k3parser/KParser.java^232^250,7d89a73,80606db,"I,B,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^104^122+javasources/K3Java/src/k3parser/KParser.java^232^250,7d89a73,80606db,"I,B,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^136^154+javasources/K3Java/src/k3parser/KParser.java^232^250,7d89a73,80606db,"I,B,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^168^186+javasources/K3Java/src/k3parser/KParser.java^232^250,7d89a73,80606db,"I,B,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^200^218+javasources/K3Java/src/k3parser/KParser.java^232^250,7d89a73,80606db,"I,B,01a8e34,19"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^243^253+javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^274^284,df4d3b5,26c2338,"I,B,7f392fe,4-I,AB,470eb02,16"
javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^298^308+javasources/JKRun/src/ro/uaic/info/fmse/jkrun/PrettyPrintOutput.java^336^346,df4d3b5,c25c5f6,"I,AB,beae5a3,3-I,B,7f392fe,10"
javasources/KUtils/src/ro/uaic/info/fmse/utils/file/FileUtil.java^11^27+tests/tools/Jenkins/src/StaticK.java^82^98,6b70726,ed45d50,"I,A,7a6453a,17"
javasources/KUtils/src/ro/uaic/info/fmse/utils/file/FileUtil.java^12^27+tests/tools/Jenkins/src/StaticK.java^86^101,e199de3,ed45d50,"I,A,7a6453a,16"
javasources/KUtils/src/ro/uaic/info/fmse/utils/xml/XmlFormatter.java^18^41+tests/tools/Jenkins/src/Report.java^104^127,137527d,8aa2e6b,"I,B,80aa60e,3-I,B,86e0bf3,3"
javasources/K3Java/src/k3/basic/Definition.java^407^423+javasources/K3Java/src/k3/loader/ProgramSDF.java^32^49,7234537,494e3ce,"I,B,4a8618b,15"
