clone_pair,start_commit,end_commit,genealogy
src/com/itmill/toolkit/demo/features/IntroDataHandling.java^49^72+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^95,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/ui/Button.java^170^181+src/com/itmill/toolkit/ui/Tree.java^419^429,aa893c5,cd31e3f,"I,B,857f5a3,1-I,A,6fe8bfa,12"
src/com/itmill/toolkit/ui/Button.java^231^244+src/com/itmill/toolkit/ui/Tree.java^280^295,aa893c5,cd31e3f,"C,AB,121ae54,24-I,A,6fe8bfa,6"
src/com/itmill/toolkit/ui/Button.java^228^244+src/com/itmill/toolkit/ui/Table.java^1197^1209,aa893c5,78e1808,"I,AB,121ae54,23"
src/com/itmill/toolkit/demo/QueryContainerDemo.java^96^119+src/com/itmill/toolkit/demo/TableDemo.java^117^140,7397520,d85eed4,"C,A,121ae54,1-C,AB,f2e3722,48"
src/com/itmill/toolkit/demo/Parameters.java^97^107+src/com/itmill/toolkit/demo/features/FeatureParameters.java^164^174,7397520,d85eed4,"I,A,da92652,1-I,A,f2e3722,10"
src/com/itmill/toolkit/ui/select/ContainsFilter.java^19^47+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^18^46,82294a2,4bd46ec,"C,AB,121ae54,8-C,A,3cb61fb,1-I,AB,815d49e,26-I,A,b1bf4c9,23-I,AB,5ba2873,18"
src/com/itmill/toolkit/data/util/MethodProperty.java^609^635+src/com/itmill/toolkit/data/util/ObjectProperty.java^197^222,121ae54,d85eed4,"I,AB,f2e3722,53"
src/com/itmill/toolkit/ui/Button.java^251^262+src/com/itmill/toolkit/ui/Table.java^1277^1289,121ae54,cd31e3f,"I,A,6fe8bfa,11"
src/com/itmill/toolkit/ui/Table.java^1280^1292+src/com/itmill/toolkit/ui/Tree.java^327^340,121ae54,d85eed4,"C,AB,4bd46ec,8-I,AB,f2e3722,33"
src/com/itmill/toolkit/ui/Table.java^1470^1482+src/com/itmill/toolkit/ui/Tree.java^424^437,121ae54,d85eed4,"I,A,8d034f6,2-C,B,857f5a3,2-C,B,5ba2873,1-C,AB,4bd46ec,8-C,AB,f2e3722,26"
src/com/itmill/toolkit/ui/Table.java^1536^1550+src/com/itmill/toolkit/ui/Tree.java^457^471,121ae54,d85eed4,"I,A,8d034f6,1-C,B,857f5a3,1-C,AB,4bd46ec,6-C,AB,f2e3722,34"
src/com/itmill/toolkit/demo/FilterSelect.java^110^138+src/com/itmill/toolkit/ui/select/ContainsFilter.java^18^45,78e1808,4bd46ec,"C,B,3cb61fb,1-C,AB,815d49e,4-I,B,b1bf4c9,23-I,B,5ba2873,9"
src/com/itmill/toolkit/demo/FilterSelect.java^110^138+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^18^45,78e1808,4bd46ec,"I,AB,815d49e,26-I,B,5ba2873,9"
src/com/itmill/toolkit/demo/Parameters.java^97^108+src/com/itmill/toolkit/demo/features/FeatureParameters.java^165^176,da92652,d85eed4,"I,A,f2e3722,12"
src/com/itmill/toolkit/data/util/ContainerHierarchicalWrapper.java^352^409+src/com/itmill/toolkit/data/util/HierarchicalContainer.java^190^247,40a6331,d85eed4,"I,AB,f2e3722,116"
src/com/itmill/toolkit/terminal/gwt/client/ui/IHorizontalLayout.java^53^73+src/com/itmill/toolkit/terminal/gwt/client/ui/IVerticalLayout.java^53^73,55aa245,08748db,"I,AB,19c6cdf,14"
