clone_pair,start_commit,end_commit,genealogy
src/main/java/com/puppycrawl/tools/checkstyle/ConfigurationLoader.java^307^333+src/main/java/com/puppycrawl/tools/checkstyle/filters/SuppressionsLoader.java^144^170,f1efb27,d58e289,"C,B,5cfe30d,5-C,A,b8ca6a5,5-C,AB,fca6580,50-I,A,71c16c5,5-C,B,111bd4b,4-C,AB,4fd298b,2-I,AB,526c9d0,18"
src/main/java/com/puppycrawl/tools/checkstyle/checks/header/AbstractHeaderCheck.java^132^158+src/main/java/com/puppycrawl/tools/checkstyle/filters/SuppressionsLoader.java^144^170,f1efb27,d58e289,"C,B,5cfe30d,5-C,A,2902710,5-C,B,fca6580,25-C,AB,111bd4b,8-I,AB,4fd298b,3-I,AB,526c9d0,31"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWithNearbyCommentFilterTest.java^197^219+src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest.java^203^225,f1efb27,2439710,"C,AB,5cfe30d,5-C,AB,702a1a9,2-I,AB,97bee78,2-I,AB,0f58857,4-I,AB,8798645,6-I,AB,b6d9344,2-I,AB,e8475b4,2-I,AB,70a6e2e,2-I,AB,6438bb2,4-I,AB,6d9e8ec,2-I,AB,b1a0f2b,2-I,AB,6a32fa8,16-I,AB,6f9d5a8,2-I,AB,907c607,37"
contrib/bcel/src/tests/com/puppycrawl/tools/checkstyle/bcel/BcelCheckTestCase.java^102^126+src/test/java/com/puppycrawl/tools/checkstyle/BaseCheckTestSupport.java^113^139,f1efb27,337382e,"C,B,09a7ca6,6-I,B,b8ca6a5,13"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWarningsFilterTest.java^109^124+src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWithNearbyCommentFilterTest.java^205^219,f1efb27,2439710,"C,AB,5cfe30d,6-I,AB,97bee78,2-I,B,0f58857,2-C,AB,8798645,4-I,AB,70a6e2e,2-I,AB,6438bb2,2-I,B,6d9e8ec,1-I,AB,b1a0f2b,2-I,AB,6a32fa8,10-I,AB,907c607,27-I,A,dd45616,1"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWarningsFilterTest.java^109^124+src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest.java^211^225,f1efb27,2439710,"C,AB,5cfe30d,4-I,A,97bee78,1-C,AB,8798645,4-I,AB,70a6e2e,2-I,AB,6438bb2,2-I,B,6d9e8ec,1-I,AB,b1a0f2b,2-I,AB,6a32fa8,10-I,AB,907c607,27-I,A,dd45616,1"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWithNearbyCommentFilterTest.java^205^219+src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest.java^211^225,f1efb27,2439710,"I,AB,5cfe30d,4-I,A,97bee78,1-I,A,0f58857,2-C,AB,8798645,4-C,AB,70a6e2e,2-C,AB,6438bb2,2-I,AB,6d9e8ec,2-I,AB,b1a0f2b,2-I,AB,6a32fa8,8-I,AB,907c607,26"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidArrayInitIndent.java^24^74+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidArrayInitIndent.java^21^81,f1efb27,2073e48,"C,B,c3f856a,16-I,AB,ac8eade,79"
src/test/java/com/puppycrawl/tools/checkstyle/BaseCheckTestSupport.java^113^134+src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/WriteTagCheckTest.java^212^233,f1efb27,1dcd6fc,"C,A,09a7ca6,5-I,B,89a51ba,11-C,A,b8ca6a5,11-C,B,0f58857,2-C,AB,a5df850,2-C,AB,bc0bf95,2-I,AB,d4ef19e,4-C,B,a992ca4,1-C,A,8b70948,1-C,AB,9cc86b3,2-C,AB,c74d7b7,14-C,B,7b8a3aa,2-C,A,2b4a02d,2-I,A,75da2ef,5-I,A,189da73,3-I,B,871b20e,1-I,AB,28be7d2,2-I,A,ffceb9d,2-I,A,de022d2,6-I,AB,fbf3f95,3-I,B,b1a0f2b,2-I,A,46fa809,1"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^105^147+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^79^119,f1efb27,2073e48,"I,AB,ac8eade,84"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^148^186+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^119^157,f1efb27,2073e48,"C,AB,ac8eade,78"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^186^225+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^170^210,f1efb27,2073e48,"I,AB,ac8eade,81"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidTryIndent.java^19^56+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidTryIndent.java^19^56,f1efb27,2439710,"C,AB,ac8eade,66"
src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^445^464+src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^472^491,f1efb27,cdf3e56,"C,AB,89a51ba,2-C,AB,0f58857,4-I,B,af09534,10-I,AB,5b01236,29"
